out,64,10.0.0.50,52.84.150.11,1732985433.111111111,0,64
in,1400,52.84.150.11,10.0.0.50,1732985433.222222222,1400,64
out,1500,10.0.0.50,151.101.1.140,1732985434.333333333,1400,1564
in,3200,151.101.1.140,10.0.0.50,1732985434.444444444,4600,1564
out,320,10.0.0.50,93.184.216.34,1732985435.555555555,4600,1884
in,800,93.184.216.34,10.0.0.50,1732985435.666666666,5400,1884
out,52,10.0.0.50,8.8.8.8,1732985436.777777777,5400,1936
in,128,8.8.8.8,10.0.0.50,1732985436.888888888,5528,1936
out,1500,10.0.0.50,104.244.42.65,1732985437.999999999,5528,3436
in,1500,104.244.42.65,10.0.0.50,1732985438.111111111,7028,3436
out,640,10.0.0.50,142.250.185.78,1732985439.222222222,7028,4076
in,2200,142.250.185.78,10.0.0.50,1732985439.333333333,9228,4076
out,200,10.0.0.50,13.107.42.14,1732985440.444444444,9228,4276
in,1800,13.107.42.14,10.0.0.50,1732985440.555555555,11028,4276
out,1500,10.0.0.50,52.84.150.11,1732985441.666666666,11028,5776
in,4200,52.84.150.11,10.0.0.50,1732985441.777777777,15228,5776
out,80,2001:db8::2,2607:f8b0:4004:800::200e,1732985442.888888888,15228,5856
in,960,2607:f8b0:4004:800::200e,2001:db8::2,1732985442.999999999,16188,5856
out,440,10.0.0.50,185.125.190.56,1732985443.111111111,16188,6296
in,1200,185.125.190.56,10.0.0.50,1732985443.222222222,17388,6296
out,1500,10.0.0.50,151.101.65.140,1732985444.333333333,17388,7796
in,3800,151.101.65.140,10.0.0.50,1732985444.444444444,21188,7796
out,320,10.0.0.50,93.184.216.34,1732985445.555555555,21188,8116
in,640,93.184.216.34,10.0.0.50,1732985445.666666666,21828,8116
out,1500,10.0.0.50,104.16.132.229,1732985446.777777777,21828,9616
in,2800,104.16.132.229,10.0.0.50,1732985446.888888888,24628,9616
out,64,10.0.0.50,1.1.1.1,1732985447.999999999,24628,9680
in,128,1.1.1.1,10.0.0.50,1732985448.111111111,24756,9680
out,880,10.0.0.50,172.217.14.206,1732985449.222222222,24756,10560
in,1600,172.217.14.206,10.0.0.50,1732985449.333333333,26356,10560
